time,open,high,low,close
1/25/2021,1111159.61,1141635.71,1089816.06,1141598.03,16.00
1/26/2021,1139377.87,1139377.87,1066801.13,1066801.13,39.00
1/27/2021,1085825.06,1097555.68,1047085.80,1097555.68,26.00
1/28/2021,1098103.00,1144987.32,1080120.38,1144987.32,7.00
1/29/2021,1141262.30,1141262.30,1099532.15,1099532.15,18.00
2/1/2021,1094977.16,1148408.52,1082650.31,1148371.07,12.00
2/2/2021,1144380.62,1150020.22,1118953.51,1135652.98,15.00
2/3/2021,1138784.21,1152517.97,1128189.41,1152517.97,16.00
2/4/2021,1152939.56,1156333.07,1117488.83,1156293.87,16.00
2/5/2021,1160864.66,1161230.94,1146121.22,1148874.70,21.00
2/8/2021,1146352.19,1146352.19,1115727.54,1128396.45,23.00
2/9/2021,1129887.72,1136445.65,1112633.80,1115570.95,29.00
2/10/2021,1105193.83,1132438.90,1086461.06,1086461.06,29.00
2/11/2021,1084902.62,1084902.62,1061409.35,1068919.38,28.00
2/12/2021,1063539.18,1087206.69,1054039.15,1087170.37,10.00
2/16/2021,1081588.16,1090727.43,1067173.83,1090727.43,10.00
2/17/2021,1088628.87,1088628.87,1039867.01,1069495.79,16.00
2/18/2021,1070107.27,1073015.43,1037700.36,1070338.32,23.00
2/19/2021,1077227.98,1079514.12,1053585.42,1079514.12,18.00
2/22/2021,1070135.73,1089981.55,1048495.68,1089981.55,13.00
2/23/2021,1084986.47,1164460.80,1078521.15,1164423.67,19.00
2/24/2021,1161505.47,1197290.93,1115553.95,1197251.29,10.00
2/25/2021,1219441.86,1370279.10,1217474.12,1370279.10,5.00
2/26/2021,1366464.74,1366884.03,1324562.81,1331605.93,16.00
3/1/2021,1326105.82,1366244.93,1296038.97,1366199.59,8.00
3/2/2021,1390271.45,1390271.45,1341709.58,1389305.04,26.00
3/3/2021,1385459.22,1483961.67,1384799.20,1483961.67,15.00
3/4/2021,1499310.47,1631783.88,1499310.47,1631783.88,5.00
3/5/2021,1673292.37,1786059.79,1629880.53,1786004.07,9.00
3/8/2021,1801495.11,1834848.86,1662664.42,1834848.86,18.00
3/9/2021,1821892.60,1855347.46,1762625.42,1855284.84,7.00
3/10/2021,1853104.13,1870856.26,1791547.52,1870856.26,10.00
3/11/2021,1849234.56,1849234.56,1786052.72,1827143.43,11.00
3/12/2021,1838731.59,1838731.59,1779851.77,1831113.26,13.00
3/15/2021,1832443.89,1860619.68,1788013.07,1860557.27,21.00
3/16/2021,1848198.94,1900229.97,1830931.63,1900229.97,14.00
3/17/2021,1892018.11,1911172.16,1792007.38,1858145.58,23.00
3/18/2021,1854865.24,1854865.24,1713929.19,1816064.73,35.00
3/19/2021,1814902.48,1814902.48,1768708.60,1790032.04,12.00
3/22/2021,1797740.52,1807025.76,1758388.46,1806964.75,8.00
3/23/2021,1804189.02,1804189.02,1708028.00,1759126.04,26.00
3/24/2021,1756633.65,1899636.09,1753538.95,1899636.09,8.00
3/25/2021,1881650.46,1883854.65,1822864.79,1851463.78,17.00
3/26/2021,1855032.58,1891583.75,1804227.99,1891520.62,22.00
3/29/2021,1880735.47,1891873.31,1782555.24,1812309.01,28.00
3/30/2021,1794308.17,1794308.17,1683933.48,1683933.48,29.00
3/31/2021,1675133.63,1730129.02,1663998.30,1730129.02,6.00
4/1/2021,1725356.60,1730495.00,1641240.67,1653785.35,37.00
4/5/2021,1646107.07,1705606.09,1634519.69,1705549.85,4.00
4/6/2021,1701364.05,1701364.05,1655944.60,1663508.97,28.00
4/7/2021,1659422.00,1666023.02,1613307.99,1616865.11,29.00
4/8/2021,1609655.47,1609655.47,1547741.39,1559672.91,33.00
4/9/2021,1558311.10,1607799.24,1548908.09,1607746.26,9.00
4/12/2021,1606926.12,1606926.12,1538690.12,1549158.10,41.00
4/13/2021,1549158.10,1558623.04,1527045.13,1551650.29,24.00
4/14/2021,1552691.41,1584381.24,1518376.16,1584381.24,12.00
4/15/2021,1594272.10,1599649.97,1585199.41,1599596.19,16.00
4/16/2021,1610216.29,1610216.29,1579471.06,1590849.39,23.00
4/19/2021,1601690.17,1628955.80,1596171.70,1628955.80,9.00
4/20/2021,1626262.06,1634968.15,1603814.17,1631760.43,11.00
4/21/2021,1622417.71,1689528.64,1605552.60,1689473.23,6.00
4/22/2021,1684488.23,1715056.63,1652598.51,1715056.63,15.00
4/23/2021,1719341.05,1758128.94,1701891.18,1758070.71,6.00
4/26/2021,1754759.19,1791090.66,1746833.37,1791030.99,6.00
4/27/2021,1789712.54,1817738.23,1761226.08,1766007.24,44.00
4/28/2021,1763304.41,1778375.29,1731204.80,1747580.79,19.00
4/29/2021,1737176.79,1798900.49,1737176.79,1798841.16,4.00
4/30/2021,1822284.36,1822284.36,1793307.12,1811089.31,13.00
5/3/2021,1807030.91,1874210.58,1807030.91,1874210.58,7.00
5/4/2021,1872412.42,1968351.12,1872412.42,1958966.85,10.00
5/5/2021,1960380.69,1970158.50,1894379.85,1952475.02,19.00
5/6/2021,1949793.89,1949793.89,1881369.59,1942794.99,15.00
5/7/2021,1940632.76,1944358.36,1907401.30,1931310.55,16.00
5/10/2021,1986138.48,2062585.75,1968673.08,2062585.75,8.00
5/11/2021,2059231.23,2109576.09,2022697.17,2109505.87,8.00
5/12/2021,2112135.47,2215495.24,2103127.23,2215495.24,5.00
5/13/2021,2203336.28,2203336.28,2102316.30,2113326.80,23.00
5/14/2021,2104346.15,2169807.48,2082134.63,2169735.55,9.00
5/17/2021,2174479.20,2189127.62,2065431.56,2092460.03,25.00
5/18/2021,2094190.25,2129251.35,2042673.14,2129251.35,20.00
5/19/2021,2140807.17,2219760.92,2092762.10,2219688.40,10.00
5/20/2021,2340363.64,2340363.64,2340288.13,2340288.13,2.00
5/21/2021,2359754.86,2428009.48,2349170.44,2428009.48,6.00
5/24/2021,2419373.05,2507193.65,2419373.05,2507111.11,3.00
5/25/2021,2495015.49,2495015.49,2464447.16,2464447.16,14.00
5/26/2021,2456774.82,2456774.82,2418741.02,2418741.02,21.00
5/27/2021,2407439.99,2407439.99,2362115.26,2387544.25,19.00
5/28/2021,2384032.90,2384032.90,2297243.96,2320566.44,32.00
6/1/2021,2319657.16,2368491.50,2311194.41,2368491.50,14.00
6/2/2021,2367069.20,2367069.20,2303212.30,2303212.30,27.00
6/3/2021,2294855.50,2323137.30,2292810.85,2301660.83,19.00
6/4/2021,2400624.80,2400624.80,2400546.60,2400546.60,2.00
6/7/2021,2397108.36,2397108.36,2285867.42,2325612.14,38.00
6/8/2021,2320582.62,2365995.70,2309780.32,2364024.97,14.00
6/9/2021,2361509.83,2361509.83,2329060.90,2358923.49,17.00
6/10/2021,2346617.13,2416485.84,2326093.35,2416405.75,10.00
6/11/2021,2408933.47,2408933.47,2326413.41,2346485.45,35.00
6/14/2021,2348607.23,2391687.27,2309510.11,2391607.67,19.00
6/15/2021,2397091.52,2421703.16,2381973.11,2421703.16,6.00
6/16/2021,2419160.93,2481573.35,2405438.37,2481491.14,8.00
6/17/2021,2572993.88,2593876.72,2556080.60,2593792.54,6.00
6/18/2021,2562892.37,2562892.37,2285669.71,2303115.67,48.00
6/21/2021,2274636.65,2335131.51,2251431.51,2335053.36,8.00
6/22/2021,2325744.84,2368833.94,2295972.60,2368754.76,9.00
6/23/2021,2378565.84,2378565.84,2333179.49,2340723.86,35.00
6/24/2021,2339385.71,2359816.11,2333417.62,2359816.11,11.00
6/25/2021,2356773.05,2356773.05,2279699.80,2279699.80,40.00
6/28/2021,2287225.88,2302283.87,2272797.77,2302206.64,14.00
6/29/2021,2300564.69,2322728.10,2288094.90,2322650.12,9.00
6/30/2021,2316105.37,2316105.37,2223030.08,2223030.08,48.00
7/1/2021,2231566.12,2231566.12,2213130.09,2231233.49,16.00
7/2/2021,2227402.69,2245693.39,2205198.25,2245617.86,15.00
7/6/2021,2244619.22,2281874.82,2225016.14,2281798.82,16.00
7/7/2021,2296576.05,2297112.73,2236569.55,2236569.55,30.00
7/8/2021,2236318.28,2236318.28,2164411.71,2235445.41,16.00
7/9/2021,2224133.23,2256251.61,2192389.85,2256175.96,11.00
7/12/2021,2250871.27,2267476.63,2217409.84,2235548.47,29.00
7/13/2021,2237276.35,2312211.55,2237276.35,2312211.55,7.00
7/14/2021,2306301.01,2310279.03,2268447.40,2295805.52,24.00
